order_id,customer_id,product_id,order_date,quantity,order_amount,status
1,32,16,2024-02-15,10,9916.8,Pending
2,81,19,2024-07-16,4,4049.84,Pending
3,32,5,2024-02-25,1,1082.42,Pending
4,29,6,2024-09-08,9,4237.38,Completed
5,59,5,2024-09-20,8,8659.36,Completed
6,97,15,2024-09-14,10,7716.4,Cancelled
7,58,6,2024-04-27,8,3766.56,Completed
8,99,17,2024-05-15,8,7993.04,Completed
9,92,10,2024-06-18,4,3708.44,Completed
10,18,5,2024-03-23,4,4329.68,Completed
11,9,14,2024-08-14,7,4677.75,Completed
12,27,14,2024-10-23,7,4677.75,Completed
13,98,19,2024-06-10,7,7087.22,Pending
14,54,18,2024-04-16,9,1342.26,Completed
15,35,14,2024-11-26,8,,Pending
16,93,6,2024-10-18,8,3766.56,Completed
17,51,19,2024-02-21,10,10124.6,Pending
18,18,15,2024-07-11,3,2314.92,Completed
19,59,11,2024-07-09,6,4958.52,Pending
20,33,3,2024-06-08,8,0,Completed
21,100,2,2024-04-27,1,1033.41,Completed
22,80,5,2024-11-04,4,4329.68,Cancelled
23,28,15,2024-03-20,5,3858.2,Cancelled
24,96,4,2024-02-19,3,2815.47,Completed
25,40,19,2024-12-07,7,7087.22,Completed
26,76,8,2024-05-28,2,399.3,Cancelled
27,16,19,2024-07-22,1,1012.46,Completed
28,9,17,2024-08-04,6,,Pending
29,47,15,2024-12-17,3,2314.92,Completed
30,79,18,2024-12-19,8,1193.12,Completed
31,42,8,2024-08-08,2,399.3,Pending
32,73,20,2024-08-28,7,1606.85,Completed
33,24,16,2024-05-11,4,3966.72,Completed
34,77,9,2024-02-08,9,0,Pending
35,63,18,2024-11-23,4,596.56,Pending
36,58,1,2024-07-23,2,25.02,Completed
37,40,19,2024-09-12,6,6074.76,Pending
38,96,18,2024-08-09,6,894.84,Completed
39,33,8,2024-06-04,2,399.3,Cancelled
40,98,6,2024-08-09,4,1883.28,Cancelled
41,98,17,2024-02-27,10,9991.3,Completed
42,38,8,2024-01-23,6,1197.9,Cancelled
43,17,9,2024-09-10,1,1019.19,Completed
44,82,16,2024-10-10,2,1983.36,Pending
45,62,15,2024-01-09,6,4629.84,Pending
